Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Barbie,"$1,439,935,535","$635,235,535",44.1%,"$804,700,000",55.9%
2,The Super Mario Bros. Movie,"$1,361,958,330","$574,934,330",42.2%,"$787,024,000",57.8%
3,Oppenheimer,"$942,108,070","$323,745,070",34.4%,"$618,363,000",65.6%
4,Guardians of the Galaxy Vol. 3,"$845,555,777","$358,995,815",42.5%,"$486,559,962",57.5%
5,Fast X,"$704,709,660","$145,960,660",20.7%,"$558,749,000",79.3%
6,Spider-Man: Across the Spider-Verse,"$690,001,944","$381,311,319",55.3%,"$308,690,625",44.7%
7,The Little Mermaid,"$569,626,289","$298,172,056",52.3%,"$271,454,233",47.7%
8,Mission: Impossible - Dead Reckoning Part One,"$567,535,383","$172,135,383",30.3%,"$395,400,000",69.7%
9,Elemental,"$493,307,289","$154,426,697",31.3%,"$338,880,592",68.7%
10,Ant-Man and the Wasp: Quantumania,"$476,071,180","$214,504,909",45.1%,"$261,566,271",54.9%
11,Transformers: Rise of the Beasts,"$438,966,392","$157,066,392",35.8%,"$281,900,000",64.2%
12,John Wick: Chapter 4,"$431,767,070","$187,131,806",43.3%,"$244,635,264",56.7%
13,Meg 2: The Trench,"$395,000,317","$82,600,317",20.9%,"$312,400,000",79.1%
14,Indiana Jones and the Dial of Destiny,"$383,862,111","$174,480,468",45.5%,"$209,381,643",54.5%
15,Creed III,"$275,248,615","$156,248,615",56.8%,"$119,000,000",43.2%
16,The Flash,"$270,633,313","$108,133,313",40%,"$162,500,000",60%
17,The Nun II,"$257,232,110","$83,932,110",32.6%,"$173,300,000",67.4%
18,Sound of Freedom,"$238,719,205","$184,072,726",77.1%,"$54,646,479",22.9%
19,Dungeons & Dragons: Honor Among Thieves,"$208,177,026","$93,277,026",44.8%,"$114,900,000",55.2%
20,Insidious: The Red Door,"$188,785,257","$82,156,962",43.5%,"$106,628,295",56.5%
21,Teenage Mutant Ninja Turtles: Mutant Mayhem,"$180,313,439","$118,413,439",65.7%,"$61,900,000",34.3%
22,The Equalizer 3,"$176,776,346","$90,676,346",51.3%,"$86,100,000",48.7%
23,Scream VI,"$168,961,389","$108,161,389",64%,"$60,800,000",36%
24,Evil Dead Rise,"$146,733,054","$67,233,054",45.8%,"$79,500,000",54.2%
25,Shazam! Fury of the Gods,"$133,838,006","$57,638,006",43.1%,"$76,200,000",56.9%
26,Blue Beetle,"$128,970,538","$72,170,538",56%,"$56,800,000",44%
27,Pathaan,"$128,780,000","$17,487,476",13.6%,"$95,095,974",73.8%
28,PAW Patrol: The Mighty Movie,"$126,749,864","$50,249,864",39.6%,"$76,500,000",60.4%
29,Taylor Swift: The Eras Tour,"$123,504,678","$92,804,678",75.1%,"$30,700,000",24.9%
30,Gran Turismo,"$117,423,097","$43,568,380",37.1%,"$73,854,717",62.9%
31,Haunted Mansion,"$116,512,599","$67,520,940",58%,"$48,991,659",42%
32,A Haunting in Venice,"$111,104,295","$39,114,155",35.2%,"$71,990,140",64.8%
33,Detective Conan: Black Iron Submarine,"$106,464,725",-,-,"$106,464,725",100%
34,Air,"$90,060,106","$52,460,106",58.3%,"$37,600,000",41.7%
35,Talk to Me,"$89,912,674","$48,192,329",53.6%,"$41,720,345",46.4%
36,Cocaine Bear,"$87,788,301","$64,388,510",73.3%,"$23,399,791",26.7%
37,No Hard Feelings,"$87,133,217","$50,452,282",57.9%,"$36,680,935",42.1%
38,The Exorcist: Believer,"$86,133,850","$45,836,850",53.2%,"$40,297,000",46.8%
39,The Roundup: No Way Out,"$83,410,298","$909,411",1.1%,"$82,500,887",98.9%
40,The Creator,"$79,859,632","$32,832,065",41.1%,"$47,027,567",58.9%
41,The Pope's Exorcist,"$76,664,075","$20,009,380",26.1%,"$56,654,695",73.9%
42,Plane,"$74,191,973","$32,111,181",43.3%,"$42,080,792",56.7%
43,Saw X,"$71,853,063","$41,953,063",58.4%,"$29,900,000",41.6%
44,Titanic 25 Year Anniversary,"$70,157,472","$15,033,795",21.4%,"$55,123,677",78.6%
45,The Boogeyman,"$67,307,243","$43,244,282",64.2%,"$24,062,961",35.8%
46,65,"$60,730,568","$32,062,904",52.8%,"$28,667,664",47.2%
47,Magic Mike's Last Dance,"$57,105,156","$26,005,156",45.5%,"$31,100,000",54.5%
48,The Boy and the Heron,"$56,175,911",-,-,"$56,175,911",100%
49,Demon Slayer: Kimetsu No Yaiba - To the Swordsmith Village,"$56,119,404","$10,117,806",18%,"$46,001,598",82%
50,Knock at the Cabin,"$54,760,947","$35,397,980",64.6%,"$19,362,967",35.4%
51,Mummies,"$54,375,970","$4,275,970",7.9%,"$50,100,000",92.1%
52,Jesus Revolution,"$53,495,248","$52,102,987",97.4%,"$1,392,261",2.6%
53,Asteroid City,"$53,450,269","$28,153,025",52.7%,"$25,297,244",47.3%
54,Missing,"$48,767,848","$32,502,025",66.6%,"$16,265,823",33.4%
55,Asterix & Obelix: The Middle Kingdom,"$46,493,489",-,-,"$46,493,489",100%
56,"Ruby Gillman, Teenage Kraken","$45,099,476","$15,753,600",34.9%,"$29,345,876",65.1%
57,80 for Brady,"$40,362,938","$39,330,588",97.4%,"$1,032,350",2.6%
58,Operation Fortune: Ruse de Guerre,"$38,165,964","$6,496,125",17%,"$31,669,839",83%
59,My Big Fat Greek Wedding 3,"$37,559,258","$28,179,590",75%,"$9,379,668",25%
60,Doraemon the Movie: Nobita's Sky Utopia,"$37,475,850",-,-,"$37,475,850",100%
61,"Miraculous: Ladybug & Cat Noir, the Movie","$37,198,258",-,-,"$37,198,258",100%
62,Smugglers,"$36,825,379",-,-,"$36,825,379",100%
63,Kingdom 3,"$36,259,522",-,-,"$36,259,522",100%
64,Ride On,"$36,248,066","$128,950",0.4%,"$36,119,116",99.6%
65,Strays,"$35,353,368","$23,988,885",67.9%,"$11,364,483",32.1%
66,Alibi.com 2,"$34,044,735",-,-,"$34,044,735",100%
67,The Three Musketeers: D'Artagnan,"$31,188,574",-,-,"$31,188,574",100%
68,Expend4bles,"$31,112,519","$16,314,410",52.4%,"$14,798,109",47.6%
69,Tokyo MER,"$30,226,383",-,-,"$30,226,383",100%
70,BTS: Yet to Come in Cinemas,"$29,291,883","$8,093,270",27.6%,"$21,198,613",72.4%
71,Book Club: The Next Chapter,"$28,963,695","$17,556,340",60.6%,"$11,407,355",39.4%
72,Concrete Utopia,"$28,859,372",-,-,"$28,859,372",100%
73,Jawan,"$28,175,716","$15,141,274",53.7%,"$13,034,442",46.3%
74,Renfield,"$26,348,651","$17,152,625",65.1%,"$9,196,026",34.9%
75,Don't Call it Mystery: The Movie,"$22,073,414",-,-,"$22,073,414",100%
76,The Last Voyage of the Demeter,"$21,694,915","$13,637,180",62.9%,"$8,057,735",37.1%
77,The Covenant,"$21,632,392","$16,938,039",78.3%,"$4,694,353",21.7%
78,"Are You There God? It's Me, Margaret.","$21,464,043","$20,372,406",94.9%,"$1,091,637",5.1%
79,The Challenge,"$21,464,026",-,-,"$21,464,026",100%
80,The House of No Man,"$19,490,980",-,-,"$19,490,980",100%
81,My Happy Marriage,"$19,439,523",-,-,"$19,439,523",100%
82,Champions,"$18,906,455","$16,271,910",86.1%,"$2,634,545",13.9%
83,IDOLiSH7 Movie: LIVE 4bit - BEYOND THE PERiOD,"$18,376,869",-,-,"$18,376,869",100%
84,The Blackening,"$18,169,453","$17,707,207",97.5%,"$462,246",2.5%
85,About My Father,"$18,167,819","$12,089,391",66.5%,"$6,078,428",33.5%
86,Tokyo Revengers 2: Bloody Halloween - Destiny,"$17,216,567",-,-,"$17,216,567",100%
87,Shin Jigen! Crayon Shin-chan the Movie,"$16,926,552",-,-,"$16,926,552",100%
88,Mavka: The Forest Song,"$16,924,141",-,-,"$16,924,141",100%
89,Retribution,"$16,335,328","$6,935,813",42.5%,"$9,399,515",57.5%
90,The Legend & Butterfly,"$16,087,771",-,-,"$16,087,771",100%
91,Die drei ??? - Erbe des Drachen,"$15,860,016",-,-,"$15,860,016",100%
92,Shin Kamen Rider,"$15,787,771",-,-,"$15,787,771",100%
93,Joy Ride,"$15,782,536","$12,897,789",81.7%,"$2,884,747",18.3%
94,Past Lives,"$15,348,213","$10,923,569",71.2%,"$4,424,644",28.8%
95,Dumb Money,"$15,046,512","$12,771,665",84.9%,"$2,274,847",15.1%
96,A Guilty Conscience,"$14,914,575",-,-,"$14,914,575",100%
97,Tokyo Revengers 2: Bloody Halloween - Decisive Battle,"$14,584,970",-,-,"$14,584,970",100%
98,Rehragout Rendezvous,"$14,127,069",-,-,"$14,127,069",100%
99,The Blind,"$14,093,503","$14,093,503",100%,-,-
100,Sisu,"$14,090,350","$7,265,622",51.6%,"$6,824,728",48.4%
101,Epic Tails,"$13,490,220",-,-,"$13,490,220",100%
102,The Point Men,"$13,433,834",-,-,"$13,433,834",100%
103,"Manta, Manta - Zwoter Teil","$13,076,716",-,-,"$13,076,716",100%
104,Love Again,"$12,696,584","$6,230,837",49.1%,"$6,465,747",50.9%
105,Jeanne du Barry,"$12,597,290",-,-,"$12,597,290",100%
106,Dr. Cheon and Lost Talisman,"$12,527,136","$57,814",0.5%,"$12,469,322",99.5%
107,His Only Son,"$12,469,959","$12,084,084",96.9%,"$385,875",3.1%
108,Hypnotic,"$12,328,503","$4,500,169",36.5%,"$7,828,334",63.5%
109,Bottoms,"$12,008,732","$12,008,732",100%,-,-
110,Championext,"$11,723,703",-,-,"$11,723,703",100%
111,Face Off 6: The Ticket of Destiny,"$11,538,081",-,-,"$11,538,081",100%
112,Beau Is Afraid,"$11,480,078","$8,176,562",71.2%,"$3,303,516",28.8%
113,What's Love Got to Do with It?,"$11,108,409",-,-,"$11,108,409",100%
114,Samurai Beyond Admiration Record to the World's Best,"$10,876,188",-,-,"$10,876,188",100%
115,Honey Sweet,"$10,744,262",-,-,"$10,744,262",100%
116,The Machine,"$10,664,328","$10,458,331",98.1%,"$205,997",1.9%
117,Sleep,"$10,285,313",-,-,"$10,285,313",100%
118,Sun and Concrete,"$10,119,958",-,-,"$10,119,958",100%
119,The Crime Is Mine,"$10,108,724",-,-,"$10,108,724",100%
120,After Everything,"$9,894,506",-,-,"$9,894,506",100%
121,House Party,"$9,284,647","$9,002,247",97%,"$282,400",3%
122,Anatomy of a Fall,"$9,284,266","$117,848",1.3%,"$9,166,418",98.7%
123,Kandahar,"$9,189,524","$4,813,132",52.4%,"$4,376,392",47.6%
124,All Your Faces,"$9,056,053",-,-,"$9,056,053",100%
125,The Wandering Earth II,"$8,854,786","$5,023,132",56.7%,"$3,831,654",43.3%
126,Father & Soldier,"$8,597,034",-,-,"$8,597,034",100%
127,Dream,"$8,317,251",-,-,"$8,317,251",100%
128,Vacaciones de verano,"$8,164,769",-,-,"$8,164,769",100%
129,Ransomed,"$8,101,634","$142,101",1.8%,"$7,959,533",98.2%
130,Sur les chemins noirs,"$7,964,795",-,-,"$7,964,795",100%
131,Cobweb,"$7,841,261",-,-,"$7,841,261",100%
132,The Hill,"$7,665,865","$7,665,865",100%,-,-
133,PreCure All Stars F,"$7,643,488",-,-,"$7,643,488",100%
134,Ichikei's Crow,"$7,377,092",-,-,"$7,377,092",100%
135,Star Wars: Episode VI - Return of the Jedi 2023 Re-release,"$7,259,924","$7,259,924",100%,-,-
136,Cats in the Museum,"$7,239,299",-,-,"$7,239,299",100%
137,Coraline 2023 Re-release (remastered),"$7,149,366","$7,149,366",100%,-,-
138,The Jungle Bunch 2: World Tour,"$7,101,538",-,-,"$7,101,538",100%
139,Les petites victoires,"$7,056,157",-,-,"$7,056,157",100%
140,Knights of the Zodiac,"$6,986,177","$1,090,155",15.6%,"$5,896,022",84.4%
141,Beautiful Disaster,"$6,850,036",-,-,"$6,850,036",100%
142,Pravednik,"$6,758,440",-,-,"$6,758,440",100%
143,A Brighter Tomorrow,"$6,537,766",-,-,"$6,537,766",100%
144,City Hunter the Movie: Angel Dust,"$6,394,423",-,-,"$6,394,423",100%
145,Little Bird: The Big Quest,"$6,313,438",-,-,"$6,313,438",100%
146,Rafadan Tayfa Galaktik Tayfa,"$6,309,160",-,-,"$6,309,160",100%
147,Kishibe Rohan Rûvuru e iku,"$6,292,792",-,-,"$6,292,792",100%
148,Marlowe,"$6,276,005","$4,350,243",69.3%,"$1,925,762",30.7%
149,Mafia Mamma,"$6,120,609","$3,496,761",57.1%,"$2,623,848",42.9%
150,Life for Real,"$6,116,543",-,-,"$6,116,543",100%
151,"And Yet, You Are So Sweet","$6,099,393",-,-,"$6,099,393",100%
152,Big George Foreman,"$6,031,202","$5,426,772",90%,"$604,430",10%
153,The Childe,"$5,934,764","$102,021",1.7%,"$5,832,743",98.3%
154,Road to Boston,"$5,896,325",-,-,"$5,896,325",100%
155,It Lives Inside,"$5,778,768","$4,662,146",80.7%,"$1,116,622",19.3%
156,Blue Giant,"$5,745,531",-,-,"$5,745,531",100%
157,The Devil's Deal,"$5,702,702",-,-,"$5,702,702",100%
158,You Hurt My Feelings,"$5,698,637","$4,830,788",84.8%,"$867,849",15.2%
159,Rocky Aur Rani Kii Prem Kahaani,"$5,627,462",-,-,"$5,627,462",100%
160,Infelices para Siempre,"$5,602,272",-,-,"$5,602,272",100%
161,The Chosen Season 3 Finale,"$5,589,142","$5,525,069",98.9%,"$64,073",1.1%
162,10 jours encore sans maman,"$5,583,794",-,-,"$5,583,794",100%
163,The Unlikely Pilgrimage of Harold Fry,"$5,574,925",-,-,"$5,574,925",100%
164,Off the Rails,"$5,467,591",-,-,"$5,467,591",100%
165,Nefarious,"$5,433,685","$5,433,685",100%,-,-
166,Baba Yaga spasyot mir,"$5,387,417",-,-,"$5,387,417",100%
167,Golda,"$5,360,351","$4,772,119",89%,"$588,232",11%
168,Detective Conan: Episode of Ai Haibara - Black Iron Mystery Train,"$5,336,693",-,-,"$5,336,693",100%
169,Les blagues de Toto 2 - Classe verte,"$5,206,007",-,-,"$5,206,007",100%
170,Infinity Pool,"$5,183,424","$5,078,400",98%,"$105,024",2%
171,¡Vaya vacaciones!,"$5,176,254",-,-,"$5,176,254",100%
172,Phantom,"$5,173,638",-,-,"$5,173,638",100%
173,Hustler vs Scammer (Sieu Lua Gap Sieu Lay),"$5,166,455",-,-,"$5,166,455",100%
174,The Moon,"$5,153,451","$92,718",1.8%,"$5,060,733",98.2%
175,Rebound,"$5,145,202",-,-,"$5,145,202",100%
176,The Silent Service,"$5,140,123",-,-,"$5,140,123",100%
177,Stop Making Sense 2023 Re-release,"$5,139,374","$4,497,980",87.5%,"$641,394",12.5%
178,Chi Chi Em Em 2,"$5,109,674",-,-,"$5,109,674",100%
179,Shylock's Children,"$5,102,646",-,-,"$5,102,646",100%
180,Allelujah,"$5,035,719",-,-,"$5,035,719",100%
181,Ponniyin Selvan: Part Two,"$5,035,633","$3,813,000",75.7%,"$1,222,633",24.3%
182,Me contro Te - il Film: Missione Giungla,"$5,031,684",-,-,"$5,031,684",100%
183,Just the Two of Us,"$5,016,390",-,-,"$5,016,390",100%
184,Someday or One Day,"$5,009,619",-,-,"$5,009,619",100%
185,Winnie the Pooh: Blood and Honey,"$4,941,200","$1,750,639",35.4%,"$3,190,561",64.6%
186,A Great Friend,"$4,894,070",-,-,"$4,894,070",100%
187,Jailer,"$4,817,871",-,-,"$4,817,871",100%
188,Emergency Landing,"$4,752,283",-,-,"$4,752,283",100%
189,ONEMANSHOW: The Movie,"$4,681,464",-,-,"$4,681,464",100%
190,SSSS.Gridman,"$4,636,916",-,-,"$4,636,916",100%
191,Sage homme,"$4,613,332",-,-,"$4,613,332",100%
192,Last Night of Amore,"$4,580,566","$3,865",<0.1%,"$4,576,701",99.9%
193,2018,"$4,547,765",-,-,"$4,547,765",100%
194,Love Reset,"$4,546,708",-,-,"$4,546,708",100%
195,IM HERO THE FINAL,"$4,514,656",-,-,"$4,514,656",100%
196,Mari(dos),"$4,483,495",-,-,"$4,483,495",100%
197,Weekend Rebels,"$4,477,262",-,-,"$4,477,262",100%
198,Maamannan,"$4,463,992",-,-,"$4,463,992",100%
199,Maybe I Do,"$4,450,096","$1,293,722",29.1%,"$3,156,374",70.9%
200,Nyurnberg,"$4,354,380",-,-,"$4,354,380",100%
